City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,punta arenas,-53.15,-70.9167,7.060000000000002,93,100,3.6,CL,1682357356
263,quezon,7.7303,125.0989,23.03000000000003,91,75,1.71,PH,1682357357
264,icano,-28.9193,-65.3282,21.610000000000014,55,38,2.32,AR,1682357357
265,camocim,-2.9022,-40.8411,29.53000000000003,67,78,2.66,BR,1682357358
266,akrehamn,59.2667,5.1833,7.220000000000027,70,75,11.83,NO,1682357358
267,boyolangu,-8.1181,111.8935,24.890000000000043,89,78,0.17,ID,1682357358
268,erenhot,43.6475,111.9767,2.5100000000000477,62,86,11.06,CN,1682357359
269,bradford,53.7939,-1.7521,8.360000000000014,62,20,4.63,GB,1682357360
270,malindi,-3.2175,40.1191,27.29000000000002,84,99,5.39,KE,1682357360
271,san pedro pochutla,15.7333,-96.4667,32.06,47,82,3.45,MX,1682357360
272,launceston,-41.45,147.1667,12.310000000000002,92,74,5.66,AU,1682357361
273,cukurca,37.2481,43.6136,9.360000000000014,86,100,1.31,TR,1682357362
274,ulsteinvik,62.3432,5.8487,5.420000000000016,73,100,6.71,NO,1682357362
275,keflavik,64.0049,-22.5624,8.950000000000045,70,75,1.54,IS,1682357362
276,eyl,7.9803,49.8164,28.83000000000004,77,89,6.58,SO,1682357363
277,kale,50.9581,1.8521,10.0,74,100,2.48,FR,1682357363
278,pangoa,-12.1167,-73.0,27.629999999999995,62,57,1.03,PE,1682357364
279,nagqu,31.5,92.0,-1.3199999999999932,27,62,4.5,CN,1682357365
280,la passe,45.5549,-0.8967,14.129999999999995,77,99,3.21,FR,1682357365
281,paoua,7.2427,16.4406,30.710000000000036,40,48,1.68,CF,1682357366
282,lazaro cardenas,17.9583,-102.2,28.55000000000001,57,100,2.69,MX,1682357366
283,swift current,50.2834,-107.8014,6.4500000000000455,52,75,11.83,CA,1682357111
284,walvis bay,-22.9575,14.5053,27.53000000000003,44,0,7.72,NA,1682357367
285,ituango,7.1712,-75.764,23.52000000000004,71,55,1.19,CO,1682357368
286,pisco,-13.7,-76.2167,27.03000000000003,61,0,4.63,PE,1682357369
287,beyneu,45.3167,55.2,21.860000000000014,27,100,10.43,KZ,1682357369
288,fort bragg,35.139,-79.006,17.470000000000027,43,20,4.12,US,1682357178
289,margaret river,-33.95,115.0667,12.75,77,96,7.54,AU,1682357370
290,trujillo,-8.116,-79.03,25.980000000000018,65,100,6.17,PE,1682357371
291,castillos,-34.1667,-53.8333,23.560000000000002,62,65,4.02,UY,1682357371
292,el calafate,-50.3408,-72.2768,9.680000000000007,84,81,3.5,AR,1682357372
